CIRCUMSTANCES,COMMENT,DEATH DESCRIPTION,CLASSIFICATION,Activity,Place?,% Classified,24.84%
ex husb. Sus 801,,"ex husb. Sus 801, ",,,,,
in street by stranger,,"in street by stranger, ",,,,,
in hotel beef re chairs,,"in hotel beef re chairs, ",,,,,
by boy friend in kitchen,,"by boy friend in kitchen, ",,,,,
Fillmore guy gave dope Oded,,"Fillmore guy gave dope Oded, ",,,,,
vic died in motel room,,"vic died in motel room, ",,,,,
on a dare,,"on a dare, ",,,,,
gay robbery,,"gay robbery, ",Robbery,,,,
robbery,,"robbery, ",Robbery,,,,
stab by other patient in ward,,"stab by other patient in ward, ",,,,,
beaten in room need race,,"beaten in room need race, ",,,,,
shot guy for grab money on bar,S. F. custom,"shot guy for grab money on bar, S. F. custom",,,,,
hit guy on street,,"hit guy on street, ",,,,,
drinking party money owed,,"drinking party money owed, ",,,,,
found in parking lot,sus not in register,"found in parking lot, sus not in register",,,,,
seen leaving his room,after bad struggle,"seen leaving his room, after bad struggle",,,,,
fite w unided man in café,if black would say?,"fite w unided man in café, if black would say?",,,,,
husband strangle drunk,,"husband strangle drunk, ",,,,,
bllunt force,,"bllunt force, ",,,,,
by divorcing husb Sus 801,,"by divorcing husb Sus 801, ",,,,,
robbery,caught 2/92,"robbery, caught 2/92",Robbery,,,,
not in register,,"not in register, ",,,,,
shot by friend he eject fr room,circumstance,"shot by friend he eject fr room, circumstance",,,,,
robbery taxi,,"robbery taxi, ",Robbery,,,,
fellow patient in hosp w/chair,looks white?,"fellow patient in hosp w/chair, looks white?",,,,,
cop killed. Police,,"cop killed. Police, ",,,,,
in hotel room,looks white,"in hotel room, looks white",,,,,
swamper killed,,"swamper killed, ",,,,,
by live in,from name,"by live in, from name",,,,,
robbery narcotic,,"robbery narcotic, ",Robbery,,,,
by hus - she with other-,,"by hus - she with other-, ",,,,,
robbery,,"robbery, ",Robbery,,,,
robbery,,"robbery, ",Robbery,,,,
robbery,,"robbery, ",Robbery,,,,
work site kills long shor boss,,"work site kills long shor boss, ",,,,,
robbery,acquaintance,"robbery, acquaintance",Robbery,,,,
sus lives on Buchanan,check paper,"sus lives on Buchanan, check paper",,,,,
by roomer of 5 years,from circumstances,"by roomer of 5 years, from circumstances",,,,,
gay robbery,,"gay robbery, ",Robbery,,,,
dad kills son w. terror family,,"dad kills son w. terror family, ",,,,,
dad over discipline wayward daughter,,"dad over discipline wayward daughter, ",,,,,
looks like kid gang,,"looks like kid gang, ",,,,,
at party over woman,,"at party over woman, ",,,,,
third party to beef innocent,Roy Varni,"third party to beef innocent, Roy Varni",,,,,
floater by fireboat,,"floater by fireboat, ",,,,,
argue in bar,,"argue in bar, ",,,,,
robbery,,"robbery, ",Robbery,,,,
robbery,,"robbery, ",Robbery,,,,
drinking in room,circumstances,"drinking in room, circumstances",,,,,
robbery,,"robbery, ",Robbery,,,,
starts in bar goes out,,"starts in bar goes out, ",,,,,
for messin w dau- in v's bedr,looks bla 1 am,"for messin w dau- in v's bedr, looks bla 1 am",,,,,
police killing -Fed narc sus 801,by informant,"police killing -Fed narc sus 801, by informant",,,,,
wino deal in hotel,,"wino deal in hotel, ",,,,,
silence witness,,"silence witness, ",,,,,
bur robbery,killed in mom,"bur robbery, killed in mom",Robbery,,,,
"hus, wife",,"hus, wife, ",,,,,
beaten in apt,,"beaten in apt, ",,,,,
Burg robbery,,"Burg robbery, ",Robbery,,,,
robbery,,"robbery, ",Robbery,,,,
family,,"family, ",,,,,
fight indian suspect,kicked,"fight indian suspect, kicked",,,,,
gay robbery,,"gay robbery, ",Robbery,,,,
fight,,"fight, ",,,,,
Family,,"Family, ",,,,,
Fight,,"Fight, ",,,,,
divorce,,"divorce, ",,,,,
robbery,,"robbery, ",Robbery,,,,
Burgl,,"Burgl, ",,,,,
dice game,,"dice game, ",,,,,
family,,"family, ",,,,,
family,,"family, ",,,,,
traffic dispute,,"traffic dispute, ",,,,,
family,,"family, ",,,,,
family,,"family, ",,,,,
mental,,"mental, ",,,,,
accuse cheat.,,"accuse cheat., ",,,,,
argument,,"argument, ",,,,,
cop killer,,"cop killer, ",,,,,
robbery,,"robbery, ",Robbery,,,,
Inconclusive,inconclusive,"Inconclusive, inconclusive",,,,,
sus 801,inconclusive,"sus 801, inconclusive",,,,,
robbery,,"robbery, ",Robbery,,,,
sex gratification,,"sex gratification, ",,,,,
argu re man,,"argu re man, ",,,,,
argu re woman,,"argu re woman, ",,,,,
argument,,"argument, ",,,,,
robbery,,"robbery, ",Robbery,,,,
Self defens excu,,"Self defens excu, ",,,,,
burg robbery?,,"burg robbery?, ",Robbery,,,,
nut case in mens room,been in ward 92,"nut case in mens room, been in ward 92",,,,,
shoots telphone op when refused relief,welfare claimant.,"shoots telphone op when refused relief, welfare claimant.",,,,,
,alkie - check sus race?.,", alkie - check sus race?.",,,,,
fight among friends,,"fight among friends, ",,,,,
entered friend's house died,check sus race?,"entered friend's house died, check sus race?",,,,,
bar fight,at 6:30 am vic musicain,"bar fight, at 6:30 am vic musicain",,,,,
triangle- wife with perp,shot five times,"triangle- wife with perp, shot five times",,,,,
gay ?  Turk st Ymca,vic never married etc.I,"gay ?  Turk st Ymca, vic never married etc.I",,,,,
argu re girl in San Diego,in lobby of hotel,"argu re girl in San Diego, in lobby of hotel",,,,,
after drinking party in hotel,3 in a bed sus pushed out,"after drinking party in hotel, 3 in a bed sus pushed out",,,,,
after drinking party,necktie,"after drinking party, necktie",,,,,
found dead in hallway,,"found dead in hallway, ",,,,,
 Roomate over money. Gay,vic wearing underpants," Roomate over money. Gay, vic wearing underpants",,,,,
Gay Gay Gay,Ided two years later,"Gay Gay Gay, Ided two years later",,,,,
family beef friend kills male part of it,Dino involved,"family beef friend kills male part of it, Dino involved",,,,,
robbery,,"robbery, ",Robbery,,,,
robbery,,"robbery, ",Robbery,,,,
"bar beef in ""Steiner""  1996 Ellis",bar beef ran out,"bar beef in ""Steiner""  1996 Ellis, bar beef ran out",,,,,
parracide,in argument,"parracide, in argument",,,,,
vic arguing w/wom. Intervener fights,outside bar,"vic arguing w/wom. Intervener fights, outside bar",,,,,
ex common law confronts in lunch count,at work,"ex common law confronts in lunch count, at work",,,,,
kills drinking buddy in room,perp brough vic home,"kills drinking buddy in room, perp brough vic home",,,,,
robbery,,"robbery, ",Robbery,,,,
argue with neighbor,,"argue with neighbor, ",,,,,
found dead in front. No motive,,"found dead in front. No motive, ",,,,,
"found in street, made case later?",,"found in street, made case later?, ",,,,,
robbery,,"robbery, ",Robbery,,,,
86ed patron waits ouside for barkeep,,"86ed patron waits ouside for barkeep, ",,,,,
fight with other marines in pkg lot,jury later says excus but,"fight with other marines in pkg lot, jury later says excus but",,,,,
gay? Gay gay,,"gay? Gay gay, ",,,,,
in P.I. Café,,"in P.I. Café, ",,,,,
child beaten,,"child beaten, ",,,,,
,dismissed,", dismissed",,,,,
fight,,"fight, ",,,,,
argument,,"argument, ",,,,,
argument,,"argument, ",,,,,
mental,Mom?,"mental, Mom?",,,,,
robbery grocery,,"robbery grocery, ",Robbery,,,,
fight,,"fight, ",,,,,
fight,,"fight, ",,,,,
sus 801 fight,,"sus 801 fight, ",,,,,
fight,,"fight, ",,,,,
fight,,"fight, ",,,,,
argument,,"argument, ",,,,,
fight,,"fight, ",,,,,
fight,,"fight, ",,,,,
argument,,"argument, ",,,,,
robbery burg,,"robbery burg, ",Robbery,,,,
fight/sex,,"fight/sex, ",,,,,
argument,,"argument, ",,,,,
fam argu,,"fam argu, ",,,,,
sus 801,,"sus 801, ",,,,,
robbery,,"robbery, ",Robbery,,,,
sus 801,,"sus 801, ",,,,,
rape robbery,,"rape robbery, ",Robbery,,,,
gay robbery,,"gay robbery, ",Robbery,,,,
burgl robbery?,,"burgl robbery?, ",Robbery,,,,
narcoti robbery,,"narcoti robbery, ",Robbery,,,,
sus 801,,"sus 801, ",,,,,
unwanted,,"unwanted, ",,,,,
anger,,"anger, ",,,,,
ditto,,"ditto, ",,,,,
jealousy,,"jealousy, ",,,,,
argument,,"argument, ",,,,,
sus 801 mental,,"sus 801 mental, ",,,,,
mental,,"mental, ",,,,,
fam argu,,"fam argu, ",,,,,
gay robbery,,"gay robbery, ",Robbery,,,,
gay,body in trunk,"gay, body in trunk",,,,,
argument,,"argument, ",,,,,
argument,dupe,"argument, dupe",,,,,
argument,dupe,"argument, dupe",,,,,
argu sex,dupe,"argu sex, dupe",,,,,
argu sex,dupe,"argu sex, dupe",,,,,
gay?,,"gay?, ",,,,,
Gay Bash,Kilkenny/Hall,"Gay Bash, Kilkenny/Hall",,,,,
robbery narc,,"robbery narc, ",Robbery,,,,
gay robbery,,"gay robbery, ",Robbery,,,,
argument,,"argument, ",,,,,
fight,scissors,"fight, scissors",,,,,
mental,(scissors),"mental, (scissors)",,,,,
fight,,"fight, ",,,,,
sus 801 ment,"cock spur""","sus 801 ment, cock spur""",,,,,
argue,,"argue, ",,,,,
arguement,,"arguement, ",,,,,
robbery,,"robbery, ",Robbery,,,,
argu trivial,15 shots,"argu trivial, 15 shots",,,,,
robbery,,"robbery, ",Robbery,,,,
suffocate,,"suffocate, ",,,,,
argu,,"argu, ",,,,,
sus 801,,"sus 801, ",,,,,
argue,,"argue, ",,,,,
argue,,"argue, ",,,,,
robbery,,"robbery, ",Robbery,,,,
argu,,"argu, ",,,,,
argu,,"argu, ",,,,,
Sus 801,,"Sus 801, ",,,,,
Sus 801 gay? Gay,sex- gay?,"Sus 801 gay? Gay, sex- gay?",,,,,
Sex triangle,,"Sex triangle, ",,,,,
Sus 801,,"Sus 801, ",,,,,
robbery,,"robbery, ",Robbery,,,,
robbery,,"robbery, ",Robbery,,,,
robbery,,"robbery, ",Robbery,,,,
robbery,,"robbery, ",Robbery,,,,
narcotics,,"narcotics, ",,,,,
,(lacerations),", (lacerations)",,,,,
argument,,"argument, ",,,,,
robbery narcotic,,"robbery narcotic, ",Robbery,,,,
robbery burg,,"robbery burg, ",Robbery,,,,
ses robbery,,"ses robbery, ",Robbery,,,,
argument,,"argument, ",,,,,
argument,,"argument, ",,,,,
argument,,"argument, ",,,,,
argument,,"argument, ",,,,,
argument,butcher,"argument, butcher",,,,,
sus 801,switchblade,"sus 801, switchblade",,,,,
gay robbery,,"gay robbery, ",Robbery,,,,
fight,steak,"fight, steak",,,,,
argument,rifle,"argument, rifle",,,,,
sex/gay? Gay,butcher,"sex/gay? Gay, butcher",,,,,
mental,,"mental, ",,,,,
robbery,,"robbery, ",Robbery,,,,
argument,2x4,"argument, 2x4",,,,,
argument,.22 revolver,"argument, .22 revolver",,,,,
Mercy killing,,"Mercy killing, ",,,,,
mental,30 cal rifle,"mental, 30 cal rifle",,,,,
robbery,,"robbery, ",Robbery,,,,
mental,plus fire,"mental, plus fire",,,,,
ditto,,"ditto, ",,,,,
robbery,,"robbery, ",Robbery,,,,
sus 801,shotgun,"sus 801, shotgun",,,,,
argue/sex,,"argue/sex, ",,,,,
money,belt,"money, belt",,,,,
money,belt,"money, belt",,,,,
argument,butcher,"argument, butcher",,,,,
family,kitchen,"family, kitchen",,,,,
gay robbery,,"gay robbery, ",Robbery,,,,
robbery,,"robbery, ",Robbery,,,,
argument,,"argument, ",,,,,
argument alc,kitchen,"argument alc, kitchen",,,,,
sex/gay? Gay,.22 auto pistol,"sex/gay? Gay, .22 auto pistol",,,,,
argument,pocket,"argument, pocket",,,,,
robbery,,"robbery, ",Robbery,,,,
"argument,fite",razor,"argument,fite, razor",,,,,
,in back,", in back",,,,,
,pocket,", pocket",,,,,
argument,pistol,"argument, pistol",,,,,
robbery,,"robbery, ",Robbery,,,,
evade arrest,hunting,"evade arrest, hunting",,,,,
argu/gay? Gay,kicked all over,"argu/gay? Gay, kicked all over",,,,,
racial argu,rifle in back,"racial argu, rifle in back",,,,,
robbery,,"robbery, ",Robbery,,,,
argu/gamble,Pocket,"argu/gamble, Pocket",,Gamble,,,
argu/alcohol,defenestrated,"argu/alcohol, defenestrated",,,,,
Sus 801,mercy,"Sus 801, mercy",,,,,
sex/Lesb. Gay,rope,"sex/Lesb. Gay, rope",,,,,
sex/gay?  Gay,,"sex/gay?  Gay, ",,,,,
argu,defenestrated,"argu, defenestrated",,,,,
anger,,"anger, ",,,,,
argu/narcotics,stilletto,"argu/narcotics, stilletto",,,,,
mental,.25 revol in back,"mental, .25 revol in back",,,,,
mental,,"mental, ",,,,,
Argu alcohol,steak,"Argu alcohol, steak",,,,,
sex/gay,butcher,"sex/gay, butcher",,,,,
argu/sex,.32 auto,"argu/sex, .32 auto",,,,,
argu/sex,beat,"argu/sex, beat",,,,,
see above,,"see above, ",,,,,
robbery,,"robbery, ",Robbery,,,,
robbery,,"robbery, ",Robbery,,,,
psyco/bottle,in rectum,"psyco/bottle, in rectum",,,,,
robbery,,"robbery, ",Robbery,,,,
robbery (cab),,"robbery (cab), ",Robbery,,,,
sex.fite,cut throat,"sex.fite, cut throat",,,,,
Fite/Narcotics,,"Fite/Narcotics, ",,,,,
Family   fight,,"Family   fight, ",,,,,
,check year,", check year",,,,,
Sex/Gay gay,butcher,"Sex/Gay gay, butcher",,,,,
fite/alcohol,revolver,"fite/alcohol, revolver",,,,,
sex/gay/glass,Correris/Fotinos,"sex/gay/glass, Correris/Fotinos",,,,,
Argu/family,shoe etc.,"Argu/family, shoe etc.",,,,,
sex,shot gun,"sex, shot gun",,,,,
gay robbery,,"gay robbery, ",Robbery,,,,
mental,drown,"mental, drown",,,,,
robbery,,"robbery, ",Robbery,,,,
sex gay,pocket,"sex gay, pocket",,,,,
family,rifle,"family, rifle",,,,,
Mental,pocket,"Mental, pocket",,,,,
argu/family,.22 pistol,"argu/family, .22 pistol",,,,,
argu,,"argu, ",,,,,
robbery,,"robbery, ",Robbery,,,,
trivial argu,butcher,"trivial argu, butcher",,,,,
baby crying,,"baby crying, ",,,,,
Argument triv,Ice Pick,"Argument triv, Ice Pick",,,,,
sex,sharp instr.,"sex, sharp instr.",,,,,
,tie,", tie",,,,,
arson,,"arson, ",,,,,
mental,suitcase in attic,"mental, suitcase in attic",,,,,
sex gay lesb,in suitcase,"sex gay lesb, in suitcase",,,,,
figh,,"figh, ",,,,,
Cleary,tie/stockting,"Cleary, tie/stockting",,,,,
fight,,"fight, ",,,,,
argu/alcohol,,"argu/alcohol, ",,,,,
argu/alcohol,in back,"argu/alcohol, in back",,,,,
Argu,revolver,"Argu, revolver",,,,,
sus 801 mental,revolver,"sus 801 mental, revolver",,,,,
Fite family,.32 revolver,"Fite family, .32 revolver",,,,,
gay robbery,,"gay robbery, ",Robbery,,,,
family fite,.38 revolver,"family fite, .38 revolver",,,,,
Fite,.38 revolver,"Fite, .38 revolver",,,,,
gay robbery,,"gay robbery, ",Robbery,,,,
robbery,,"robbery, ",Robbery,,,,
fight,,"fight, ",,,,,
fight/money,,"fight/money, ",,,,,
sex,,"sex, ",,,,,
Gay,,"Gay, ",,,,,
family fite,rifle,"family fite, rifle",,,,,
sex argu,,"sex argu, ",,,,,
divorce,.22 revolver,"divorce, .22 revolver",,,,,
Burglary?,.22 automatic,"Burglary?, .22 automatic",,,,,
,.38 revolver,", .38 revolver",,,,,
Burglary??,.32 cal revol.,"Burglary??, .32 cal revol.",,,,,
gang fite,slashed,"gang fite, slashed",,,,,
fight,.25 auto,"fight, .25 auto",,,,,
gay,,"gay, ",,,,,
robbery,,"robbery, ",Robbery,,,,
fight street,,"fight street, ",,,,,
fight party,,"fight party, ",,,,,
,kitchen,", kitchen",,,,,
kicked,,"kicked, ",,,,,
robbery,,"robbery, ",Robbery,,,,
money dispute,bayonet in back,"money dispute, bayonet in back",,,,,
trivial argu,paring,"trivial argu, paring",,,,,
fight alcohol,,"fight alcohol, ",,,,,
fight,defenestration,"fight, defenestration",,,,,
robbery (711 store),store,"robbery (711 store), store",Robbery,,,,
family argu,fi,"family argu, fi",,,,,
robbery,,"robbery, ",Robbery,,,,
argu family,.38 revolver,"argu family, .38 revolver",,,,,
gay robbery,,"gay robbery, ",Robbery,,,,
fight,.22 revolver,"fight, .22 revolver",,,,,
robbery,,"robbery, ",Robbery,,,,
robbery,,"robbery, ",Robbery,,,,
robbery,,"robbery, ",Robbery,,,,
gay robbery,,"gay robbery, ",Robbery,,,,
robbery,,"robbery, ",Robbery,,,,
,sharp instr,", sharp instr",,,,,
,.22 revolver,", .22 revolver",,,,,
robbery,,"robbery, ",Robbery,,,,
narcotics burn,.32 revolver,"narcotics burn, .32 revolver",,,,,
argument,to head,"argument, to head",,,,,
robbery,,"robbery, ",Robbery,,,,
fight family,,"fight family, ",,,,,
sex triangle,sharp instr,"sex triangle, sharp instr",,,,,
robbery,,"robbery, ",Robbery,,,,
argument,38 Revolver,"argument, 38 Revolver",,,,,
robbery,,"robbery, ",Robbery,,,,
dropped,,"dropped, ",,,,,
revenge,38revolver,"revenge, 38revolver",,,,,
sex,,"sex, ",,,,,
hate,22revolver,"hate, 22revolver",,,,,
robbery,,"robbery, ",Robbery,,,,
,38 revolver,", 38 revolver",,,,,
argument,,"argument, ",,,,,
fight alcohol,,"fight alcohol, ",,,,,
Sex jealous,hunting,"Sex jealous, hunting",,,,,
argue family,22 auto,"argue family, 22 auto",,,,,
sus 801 triangle,22 auto,"sus 801 triangle, 22 auto",,,,,
sus 801 triangle,22 auto,"sus 801 triangle, 22 auto",,,,,
lovers,auto,"lovers, auto",,,,,
Gambl argu,scout,"Gambl argu, scout",,,,,
family argu,rifle,"family argu, rifle",,,,,
sex gay,,"sex gay, ",,,,,
argument,,"argument, ",,,,,
argument,,"argument, ",,,,,
famly fite,9MM auto,"famly fite, 9MM auto",,,,,
,38 revolver,", 38 revolver",,,,,
gay sex,group kill,"gay sex, group kill",,,,,
,25 auto,", 25 auto",,,,,
Mental,,"Mental, ",,,,,
Mental,Atascadero,"Mental, Atascadero",,,,,
Narcotics,hunting,"Narcotics, hunting",,,,,
robbery,,"robbery, ",Robbery,,,,
robbery,,"robbery, ",Robbery,,,,
,pillows,", pillows",,,,,
triv argu,22 auto,"triv argu, 22 auto",,,,,
argu alcohol,38 revolver,"argu alcohol, 38 revolver",,,,,
argu trivial,357 Magnum,"argu trivial, 357 Magnum",,,,,
argu trivial,sharp instr,"argu trivial, sharp instr",,,,,
argu money,38 revolver,"argu money, 38 revolver",,,,,
revenge/jealous,kitchen,"revenge/jealous, kitchen",,,,,
revenge/jealous,,"revenge/jealous, ",,,,,
ditto,,"ditto, ",,,,,
argu trivial,rifle,"argu trivial, rifle",,,,,
argu trivial,,"argu trivial, ",,,,,
sex triangel,38revol,"sex triangel, 38revol",,,,,
unk,scissors,"unk, scissors",,,,,
gay. sex,,"gay. sex, ",,,,,
gambl,22 revolver,"gambl, 22 revolver",,,,,
argu,38 revolver,"argu, 38 revolver",,,,,
argu trivial,,"argu trivial, ",,,,,
argu family,table,"argu family, table",,,,,
sex jealous,pocket,"sex jealous, pocket",,,,,
sex,,"sex, ",,,,,
sodomized,42 times,"sodomized, 42 times",,,,,
"gay,",9MM,"gay,, 9MM",,,,,
argy trivial,38 revol,"argy trivial, 38 revol",,,,,
Union Dispute,rifle  shotgun,"Union Dispute, rifle  shotgun",,,,,
sex,38 revol,"sex, 38 revol",,,,,
argumen trivial,,"argumen trivial, ",,,,,
argu family,,"argu family, ",,,,,
revenge,22 cal pist,"revenge, 22 cal pist",,,,,
argu family,32 cal revol,"argu family, 32 cal revol",,,,,
,38 revolv,", 38 revolv",,,,,
Argu trivial,32 auto,"Argu trivial, 32 auto",,,,,
robbery,,"robbery, ",Robbery,,,,
robbery,,"robbery, ",Robbery,,,,
"gay,",22 rifle,"gay,, 22 rifle",,,,,
robbery narcotics,,"robbery narcotics, ",Robbery,,,,
sex prost,,"sex prost, ",,,,,
sex jealous,22 rifle,"sex jealous, 22 rifle",,,,,
there was sus,off building,"there was sus, off building",,,,,
Argu gamble,38 revol,"Argu gamble, 38 revol",,Gamble,,,
narcotics,shot,"narcotics, shot",,,,,
narcotics,shot,"narcotics, shot",,,,,
argu family,steak,"argu family, steak",,,,,
robbery burglary,,"robbery burglary, ",Robbery,,,,
argu trival,shot,"argu trival, shot",,,,,
sex jealous,auto pistol,"sex jealous, auto pistol",,,,,
fleeing auto strip,25 cal pistol,"fleeing auto strip, 25 cal pistol",,,,,
gay sex,19 times,"gay sex, 19 times",,,,,
gay argu,38 revol,"gay argu, 38 revol",,,,,
argu gambl,,"argu gambl, ",,,,,
argu alcohol,,"argu alcohol, ",,,,,
robbery,,"robbery, ",Robbery,,,,
sex,,"sex, ",,,,,
argu alcohol,pocket,"argu alcohol, pocket",,,,,
robbery,check race,"robbery, check race",Robbery,,,,
robbery,,"robbery, ",Robbery,,,,
robbery,,"robbery, ",Robbery,,,,
argu trivial,38 revol,"argu trivial, 38 revol",,,,,
argu alcohol,,"argu alcohol, ",,,,,
robbery,,"robbery, ",Robbery,,,,
mercy killing,45 cal,"mercy killing, 45 cal",,,,,
gay sex,phone cord,"gay sex, phone cord",,,,,
family trivial,shot,"family trivial, shot",,,,,
robbery,,"robbery, ",Robbery,,,,
argu alcohol,pocket,"argu alcohol, pocket",,,,,
argu money,pocket,"argu money, pocket",,,,,
robbery,,"robbery, ",Robbery,,,,
robbery,,"robbery, ",Robbery,,,,
gay robbery,,"gay robbery, ",Robbery,,,,
narcotics,38 cal,"narcotics, 38 cal",,,,,
robbery,,"robbery, ",Robbery,,,,
robbery gay?,nude in park,"robbery gay?, nude in park",Robbery,,,,
argu family,22cal revol,"argu family, 22cal revol",,,,,
sex triangle,see note,"sex triangle, see note",,,,,
argument,,"argument, ",,,,,
robbery,,"robbery, ",Robbery,,,,
argu trivial,,"argu trivial, ",,,,,
sex gay,butcher,"sex gay, butcher",,,,,
sex triangle,hunting,"sex triangle, hunting",,,,,
robbery,cabbie,"robbery, cabbie",Robbery,,,,
Sex Prost,25 auto,"Sex Prost, 25 auto",,,,,
Sex Prost,25 auto,"Sex Prost, 25 auto",,,,,
robbery,,"robbery, ",Robbery,,,,
gambl argu,dagger,"gambl argu, dagger",,,,,
burglary,trauma,"burglary, trauma",,,,,
mental,22 auto,"mental, 22 auto",,,,,
sex triangle,38 cal,"sex triangle, 38 cal",,,,,
,38 cal,", 38 cal",,,,,
gay lesbian,hunting,"gay lesbian, hunting",,,,,
argu alcohol,38 cal,"argu alcohol, 38 cal",,,,,
argu property,38 cal,"argu property, 38 cal",,,,,
argu gamble,38 cal,"argu gamble, 38 cal",,Gamble,,,
sex mental,25 auto,"sex mental, 25 auto",,,,,
Argu family,32 auto,"Argu family, 32 auto",,,,,
argu trivial,25 auto,"argu trivial, 25 auto",,,,,
sex gay,,"sex gay, ",,,,,
argu fight,steak,"argu fight, steak",,,,,
sus 801 mental,32 cal,"sus 801 mental, 32 cal",,,,,
narcotics,38 cal,"narcotics, 38 cal",,,,,
sex mental,also strangle,"sex mental, also strangle",,,,,
mental,and safety pin,"mental, and safety pin",,,,,
narcotics,arm severed,"narcotics, arm severed",,,,,
,beaten,", beaten",,,,,
unknown,steak,"unknown, steak",,,,,
sus 801 sex,mental,"sus 801 sex, mental",,,,,
burned,,"burned, ",,,,,
gay robbery,,"gay robbery, ",Robbery,,,,
argu trivial,skull,"argu trivial, skull",,,,,
robbery,,"robbery, ",Robbery,,,,
robbery narc,,"robbery narc, ",Robbery,,,,
robbery gay,,"robbery gay, ",Robbery,,,,
argument,rifle,"argument, rifle",,,,,
argument triv,,"argument triv, ",,,,,
robbery,,"robbery, ",Robbery,,,,
sex gay,scissors 15 times,"sex gay, scissors 15 times",,,,,
argu,sharp instr,"argu, sharp instr",,,,,
sus 801,shotgun,"sus 801, shotgun",,,,,
child beating,,"child beating, ",,,,,
argu trivial,Atascadero,"argu trivial, Atascadero",,,,,
robbery,,"robbery, ",Robbery,,,,
sus 801,mental,"sus 801, mental",,,,,
argu trivial,letter opener,"argu trivial, letter opener",,,,,
revenge police,6 hits,"revenge police, 6 hits",,,,,
sex prost,,"sex prost, ",,,,,
fight acquitted,22 auto,"fight acquitted, 22 auto",,,,,
argu family,hunting,"argu family, hunting",,,,,
argument,stilleto,"argument, stilleto",,,,,
Argu alcohol,Bread,"Argu alcohol, Bread",,,,,
Argument,22 revol,"Argument, 22 revol",,,,,
argu fight,,"argu fight, ",,,,,
robbery on bus,,"robbery on bus, ",Robbery,,,,
argu,.25 auto,"argu, .25 auto",,,,,
gay,,"gay, ",,,,,
argu alco,carving,"argu alco, carving",,,,,
gay robbery,,"gay robbery, ",Robbery,,,,
arson,first degree,"arson, first degree",,,,,
arson,,"arson, ",,,,,
robbery,,"robbery, ",Robbery,,,,
robbery narcotic,,"robbery narcotic, ",Robbery,,,,
sex prost,stabbed over body,"sex prost, stabbed over body",,,,,
argu alcohol,,"argu alcohol, ",,,,,
argu gamble,38 auto,"argu gamble, 38 auto",,Gamble,,,
sex gay,25 auto,"sex gay, 25 auto",,,,,
robbery,,"robbery, ",Robbery,,,,
street robbery,,"street robbery, ",Robbery,,,,
robbery,,"robbery, ",Robbery,,,,
argu trivial,shotgun,"argu trivial, shotgun",,,,,
robbery,,"robbery, ",Robbery,,,,
argu alco,scissors,"argu alco, scissors",,,,,
shoots robber,invol mans trial,"shoots robber, invol mans trial",,,,,
sex triangle,22 revol,"sex triangle, 22 revol",,,,,
robbery?,,"robbery?, ",Robbery,,,,
argu trivial,butcher,"argu trivial, butcher",,,,,
robbery?,,"robbery?, ",Robbery,,,,
Robb Press clu,38 revol,"Robb Press clu, 38 revol",,,,,
narcotics,38 revol,"narcotics, 38 revol",,,,,
sex prost,defenestrated,"sex prost, defenestrated",,,,,
arg alco,32 revol,"arg alco, 32 revol",,,,,
robbery,,"robbery, ",Robbery,,,,
robbery,,"robbery, ",Robbery,,,,
jest,pleas invol man,"jest, pleas invol man",,,,,
robbery,,"robbery, ",Robbery,,,,
narcotics,pocket,"narcotics, pocket",,,,,
argu alcoh,beat on head,"argu alcoh, beat on head",,,,,
unk,dragged into all,"unk, dragged into all",,,,,
aiding suicide,sex triangle,"aiding suicide, sex triangle",,,,,
narcotics,butcher,"narcotics, butcher",,,,,
narcotics,38 revol,"narcotics, 38 revol",,,,,
unk,22 revol,"unk, 22 revol",,,,,
sex triangle,auto,"sex triangle, auto",,,,,
sex gay,,"sex gay, ",,,,,
mental,(died 4/18/69),"mental, (died 4/18/69)",,,,,
argu triv,,"argu triv, ",,,,,
argu trivial,,"argu trivial, ",,,,,
argu triv,derringer,"argu triv, derringer",,,,,
narcotics,38 revol,"narcotics, 38 revol",,,,,
robbery,,"robbery, ",Robbery,,,,
argu alco,38 revol,"argu alco, 38 revol",,,,,
argu robbery,,"argu robbery, ",Robbery,,,,
narcotics,38 Revol,"narcotics, 38 Revol",,,,,
robbery?,,"robbery?, ",Robbery,,,,
sex triangle,dismissed,"sex triangle, dismissed",,,,,
Att Robb strt,22 auto,"Att Robb strt, 22 auto",,,,,
sex triangle,32 revol,"sex triangle, 32 revol",,,,,
gay? Robbery?,elect cord around neck,"gay? Robbery?, elect cord around neck",Robbery,,,,
sex triangle,22 revol,"sex triangle, 22 revol",,,,,
robbery?,,"robbery?, ",Robbery,,,,
argu triv,22 auto-Atascadero,"argu triv, 22 auto-Atascadero",,,,,
sex  gay,,"sex  gay, ",,,,,
narcotics,22 cal auto,"narcotics, 22 cal auto",,,,,
argu trivi,shot gun,"argu trivi, shot gun",,,,,
gay sex,with towel,"gay sex, with towel",,,,,
gay,tied up,"gay, tied up",,,,,
argu alcoho,,"argu alcoho, ",,,,,
mental street,atascadero,"mental street, atascadero",,,,,
sex triangle,32 relvol,"sex triangle, 32 relvol",,,,,
argu alco,,"argu alco, ",,,,,
robbery,,"robbery, ",Robbery,,,,
sex gay,sharp instr,"sex gay, sharp instr",,,,,
